rank,prev_rank,name,league,off,def,spi
399,401,1. FC Nürnberg,German 2. Bundesliga,1.1,1.6,34.41
400,402,San Jose Earthquakes,Major League Soccer,1.22,1.75,34.34
401,403,Caen,French Ligue 2,0.97,1.43,34.32
402,404,Hatayspor,Turkish Turkcell Super Lig,1.0,1.48,34.3
403,405,SV Zulte Waregem,Belgian Jupiler League,1.23,1.77,34.28
404,383,Sunderland,English League One,1.01,1.49,34.27
405,406,Los Angeles Galaxy,Major League Soccer,1.27,1.83,34.26
406,409,Vejle,Danish SAS-Ligaen,1.18,1.72,34.08
407,410,Nashville SC,Major League Soccer,0.93,1.4,34.02
408,413,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
409,414,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
410,399,FC Cartagena,Spanish Segunda Division,1.02,1.54,33.69
411,415,Holstein Kiel,German 2. Bundesliga,1.12,1.66,33.64
